,label
194,neutral
195,contradiction
196,neutral
197,contradiction
198,contradiction
199,contradiction
200,contradiction
201,contradiction
202,contradiction
203,entailment
204,contradiction
205,entailment
206,contradiction
207,contradiction
208,contradiction
209,contradiction
210,contradiction
211,contradiction
212,neutral
213,neutral
214,contradiction
215,neutral
216,neutral
217,contradiction
218,entailment
219,neutral
220,contradiction
221,neutral
222,entailment
223,contradiction
224,entailment
225,neutral
226,contradiction
227,neutral
228,contradiction
229,contradiction
230,contradiction
231,neutral
232,entailment
233,neutral
234,entailment
235,entailment
236,entailment
237,entailment
238,neutral
239,contradiction
240,entailment
241,neutral
242,neutral
243,neutral
244,contradiction
245,contradiction
246,contradiction
247,entailment
248,neutral
249,entailment
250,neutral
251,neutral
252,entailment
253,neutral
254,entailment
255,neutral
256,neutral
257,entailment
258,neutral
259,entailment
260,neutral
261,neutral
262,entailment
263,entailment
264,neutral
265,contradiction
266,contradiction
267,neutral
268,neutral
269,contradiction
270,neutral
271,contradiction
272,contradiction
273,contradiction
274,contradiction
275,contradiction
276,contradiction
277,contradiction
278,contradiction
279,neutral
280,contradiction
281,contradiction
282,contradiction
283,neutral
284,contradiction
285,contradiction
286,entailment
287,contradiction
288,neutral
289,contradiction
290,contradiction
291,contradiction
292,neutral
293,entailment
294,contradiction
295,neutral
296,contradiction
297,contradiction
298,neutral
299,contradiction
300,contradiction
301,neutral
302,entailment
303,entailment
304,contradiction
305,entailment
306,neutral
307,entailment
308,entailment
309,neutral
310,contradiction
311,entailment
312,contradiction
313,contradiction
314,neutral
315,contradiction
316,contradiction
317,neutral
318,entailment
319,entailment
320,contradiction
321,neutral
322,contradiction
323,contradiction
324,entailment
325,neutral
326,entailment
327,entailment
328,entailment
329,neutral
330,entailment
331,neutral
332,entailment
333,neutral
334,entailment
335,entailment
336,entailment
337,neutral
338,contradiction
339,entailment
340,contradiction
341,neutral
342,contradiction
343,neutral
344,contradiction
345,neutral
346,neutral
347,neutral
348,entailment
349,neutral
350,entailment
351,contradiction
352,entailment
353,entailment
354,entailment
355,neutral
356,entailment
357,neutral
358,entailment
359,contradiction
360,entailment
361,entailment
362,contradiction
363,contradiction
364,contradiction
365,contradiction
366,contradiction
367,neutral
368,neutral
369,neutral
370,neutral
371,contradiction
372,contradiction
373,neutral
374,entailment
375,entailment
376,entailment
377,contradiction
378,entailment
379,entailment
380,entailment
381,entailment
382,neutral
383,neutral
384,contradiction
385,neutral
386,entailment
387,entailment
388,contradiction
389,entailment
390,neutral
391,contradiction
392,contradiction
393,contradiction
394,contradiction
395,entailment
396,entailment
397,neutral
398,neutral
399,contradiction
400,entailment
401,contradiction
402,entailment
403,neutral
404,contradiction
405,contradiction
406,entailment
407,entailment
408,contradiction
409,contradiction
410,contradiction
411,contradiction
412,contradiction
413,contradiction
414,entailment
415,contradiction
416,entailment
417,neutral
418,contradiction
419,entailment
420,entailment
421,neutral
422,entailment
423,entailment
424,entailment
425,neutral
426,contradiction
427,entailment
428,contradiction
429,contradiction
430,neutral
431,contradiction
432,neutral
433,neutral
434,contradiction
435,contradiction
436,entailment
437,entailment
438,entailment
439,entailment
440,neutral
441,neutral
442,neutral
443,contradiction
444,neutral
445,neutral
446,contradiction
447,neutral
448,neutral
449,neutral
450,neutral
451,neutral
452,contradiction
453,neutral
454,contradiction
455,entailment
456,neutral
457,neutral
458,entailment
459,contradiction
460,entailment
461,contradiction
462,entailment
463,contradiction
464,contradiction
465,entailment
466,entailment
467,neutral
468,neutral
469,contradiction
470,contradiction
471,neutral
472,neutral
473,neutral
474,neutral
475,contradiction
476,contradiction
477,contradiction
478,contradiction
479,neutral
480,contradiction
481,neutral
482,contradiction
483,entailment
484,entailment
485,neutral
486,entailment
487,contradiction
488,entailment
489,contradiction
490,entailment
491,neutral
492,entailment
493,contradiction
494,entailment
495,neutral
496,neutral
497,neutral
498,entailment
499,neutral
500,entailment
501,contradiction
502,entailment
503,contradiction
504,entailment
505,contradiction
506,contradiction
507,contradiction
508,neutral
509,contradiction
510,entailment
511,entailment
512,entailment
513,contradiction
514,neutral
515,entailment
516,contradiction
517,entailment
518,neutral
519,entailment
520,contradiction
521,neutral
522,neutral
523,entailment
524,entailment
525,entailment
526,entailment
527,neutral
528,entailment
529,neutral
530,contradiction
531,entailment
532,entailment
533,neutral
534,contradiction
535,entailment
536,entailment
537,neutral
538,contradiction
539,contradiction
540,neutral
541,contradiction
542,neutral
543,neutral
544,contradiction
545,contradiction
546,entailment
547,neutral
548,contradiction
549,entailment
550,entailment
551,neutral
552,neutral
553,neutral
554,contradiction
555,contradiction
556,neutral
557,neutral
558,neutral
559,neutral
560,entailment
561,entailment
562,neutral
563,contradiction
564,neutral
565,neutral
566,contradiction
567,contradiction
568,entailment
569,entailment
570,neutral
571,contradiction
572,neutral
573,contradiction
574,neutral
575,neutral
576,neutral
577,neutral
578,contradiction
579,entailment
580,contradiction
581,neutral
582,contradiction
583,entailment
584,entailment
585,neutral
586,contradiction
587,entailment
588,contradiction
589,entailment
590,entailment
591,neutral
592,entailment
593,contradiction
594,neutral
595,neutral
596,neutral
597,neutral
598,contradiction
599,neutral
600,contradiction
601,neutral
602,neutral
603,contradiction
604,contradiction
605,entailment
606,contradiction
607,neutral
608,neutral
609,neutral
610,entailment
611,contradiction
612,neutral
613,neutral
614,contradiction
615,neutral
616,entailment
617,contradiction
618,entailment
619,entailment
620,neutral
621,entailment
622,entailment
623,neutral
624,neutral
625,entailment
626,neutral
627,contradiction
628,entailment
629,neutral
630,entailment
631,neutral
632,entailment
633,entailment
634,contradiction
635,contradiction
636,contradiction
637,entailment
638,entailment
639,contradiction
640,neutral
641,entailment
642,contradiction
643,neutral
644,entailment
645,contradiction
646,entailment
647,entailment
648,contradiction
649,contradiction
650,neutral
651,entailment
652,contradiction
653,contradiction
654,entailment
655,neutral
656,contradiction
657,contradiction
658,contradiction
659,entailment
660,contradiction
661,neutral
662,neutral
663,neutral
664,entailment
665,neutral
666,entailment
667,contradiction
668,entailment
669,neutral
670,contradiction
671,entailment
672,entailment
673,contradiction
674,entailment
675,neutral
676,entailment
677,entailment
678,neutral
679,contradiction
680,neutral
681,contradiction
682,contradiction
683,entailment
684,contradiction
685,neutral
686,neutral
687,neutral
688,neutral
689,neutral
690,neutral
691,entailment
692,entailment
693,entailment
694,neutral
695,entailment
696,neutral
697,entailment
698,contradiction
699,contradiction
700,contradiction
701,neutral
702,contradiction
703,entailment
704,entailment
705,neutral
706,contradiction
707,entailment
708,contradiction
709,entailment
710,entailment
711,contradiction
712,contradiction
713,contradiction
714,entailment
715,contradiction
716,entailment
717,neutral
718,contradiction
719,contradiction
720,neutral
721,contradiction
722,neutral
723,neutral
724,contradiction
725,neutral
726,entailment
727,entailment
728,entailment
729,contradiction
730,neutral
731,neutral
732,neutral
733,contradiction
734,neutral
735,contradiction
736,contradiction
737,neutral
738,contradiction
739,contradiction
740,entailment
741,contradiction
742,contradiction
743,neutral
744,neutral
745,neutral
746,contradiction
747,entailment
748,neutral
749,entailment
750,neutral
751,contradiction
752,entailment
753,contradiction
754,contradiction
755,neutral
756,contradiction
757,contradiction
758,contradiction
759,contradiction
760,contradiction
761,contradiction
762,contradiction
763,contradiction
764,neutral
765,neutral
766,neutral
767,neutral
768,neutral
769,neutral
770,neutral
771,neutral
772,neutral
773,neutral
774,neutral
775,neutral
776,neutral
777,neutral
778,neutral
779,neutral
780,neutral
781,entailment
782,entailment
783,contradiction
784,neutral
785,contradiction
786,entailment
787,entailment
788,neutral
789,entailment
790,entailment
791,neutral
792,contradiction
793,entailment
794,entailment
795,contradiction
796,neutral
797,neutral
798,neutral
799,neutral
800,neutral
801,neutral
802,neutral
803,neutral
804,neutral
805,entailment
806,contradiction
807,neutral
808,neutral
809,neutral
810,entailment
811,contradiction
812,entailment
813,contradiction
814,contradiction
815,contradiction
816,entailment
817,entailment
818,neutral
819,contradiction
820,neutral
821,contradiction
822,contradiction
823,contradiction
824,entailment
825,neutral
826,entailment
827,entailment
828,contradiction
829,contradiction
830,entailment
831,entailment
832,entailment
833,entailment
834,contradiction
835,neutral
836,contradiction
837,contradiction
838,entailment
839,contradiction
840,neutral
841,entailment
842,neutral
843,contradiction
844,neutral
845,neutral
846,contradiction
847,contradiction
848,entailment
849,entailment
850,contradiction
851,contradiction
852,entailment
853,neutral
854,entailment
855,neutral
856,contradiction
857,contradiction
858,entailment
859,neutral
860,neutral
861,contradiction
862,entailment
863,contradiction
864,neutral
865,neutral
866,contradiction
867,neutral
868,entailment
869,entailment
870,contradiction
871,contradiction
872,neutral
873,contradiction
874,neutral
875,entailment
876,neutral
877,neutral
878,neutral
879,contradiction
880,contradiction
881,entailment
882,entailment
883,contradiction
884,neutral
885,neutral
886,entailment
887,entailment
888,entailment
889,neutral
890,entailment
891,contradiction
892,neutral
893,entailment
894,entailment
895,neutral
896,neutral
897,neutral
898,neutral
899,contradiction
900,entailment
901,contradiction
902,contradiction
903,entailment
904,entailment
905,entailment
906,neutral
907,neutral
908,contradiction
909,neutral
910,contradiction
911,entailment
912,entailment
913,contradiction
914,contradiction
915,neutral
916,neutral
917,contradiction
918,neutral
919,neutral
920,neutral
921,contradiction
922,entailment
923,entailment
924,contradiction
925,neutral
926,contradiction
927,neutral
928,contradiction
929,neutral
930,entailment
931,contradiction
932,entailment
933,contradiction
934,entailment
935,contradiction
936,neutral
937,entailment
938,entailment
939,entailment
940,entailment
941,entailment
942,contradiction
943,neutral
944,neutral
945,neutral
946,neutral
947,entailment
948,neutral
949,neutral
950,contradiction
951,neutral
952,entailment
953,contradiction
954,entailment
955,contradiction
956,entailment
957,entailment
958,contradiction
959,neutral
960,neutral
961,contradiction
962,entailment
963,neutral
964,contradiction
965,neutral
966,contradiction
967,entailment
968,contradiction
969,entailment
970,entailment
971,contradiction
972,neutral
973,entailment
974,contradiction
975,neutral
976,contradiction
977,entailment
978,contradiction
979,contradiction
980,contradiction
981,neutral
982,neutral
983,entailment
984,entailment
985,contradiction
986,contradiction
987,contradiction
988,neutral
989,neutral
990,neutral
991,contradiction
992,entailment
993,entailment
994,neutral
995,neutral
996,neutral
997,entailment
998,entailment
999,neutral
1000,entailment
1001,entailment
1002,entailment
1003,neutral
1004,entailment
1005,entailment
1006,contradiction
1007,neutral
1008,entailment
1009,neutral
1010,neutral
1011,neutral
1012,contradiction
1013,contradiction
1014,contradiction
1015,neutral
1016,neutral
1017,entailment
1018,entailment
1019,entailment
1020,entailment
1021,neutral
1022,contradiction
1023,entailment
1024,contradiction
1025,neutral
1026,neutral
1027,contradiction
1028,neutral
1029,entailment
1030,entailment
1031,entailment
1032,neutral
1033,entailment
1034,entailment
1035,neutral
1036,entailment
1037,neutral
1038,contradiction
1039,contradiction
1040,neutral
1041,contradiction
1042,entailment
1043,contradiction
1044,neutral
1045,contradiction
1046,entailment
1047,entailment
1048,entailment
1049,neutral
1050,contradiction
1051,entailment
1052,entailment
1053,neutral
1054,entailment
1055,contradiction
1056,neutral
1057,entailment
1058,entailment
1059,contradiction
1060,neutral
1061,contradiction
1062,neutral
1063,entailment
1064,entailment
1065,entailment
1066,contradiction
1067,neutral
1068,neutral
1069,contradiction
1070,contradiction
1071,contradiction
1072,entailment
1073,neutral
1074,contradiction
1075,entailment
1076,neutral
1077,neutral
1078,neutral
1079,contradiction
1080,entailment
1081,contradiction
1082,contradiction
1083,neutral
1084,contradiction
1085,neutral
1086,neutral
1087,entailment
1088,neutral
1089,entailment
1090,contradiction
1091,contradiction
1092,neutral
1093,contradiction
1094,entailment
1095,contradiction
1096,entailment
1097,neutral
1098,contradiction
1099,contradiction
1100,entailment
1101,contradiction
1102,entailment
1103,contradiction
1104,contradiction
1105,entailment
1106,entailment
1107,neutral
1108,entailment
1109,entailment
1110,contradiction
1111,contradiction
1112,entailment
1113,entailment
1114,entailment
1115,neutral
1116,neutral
1117,entailment
1118,contradiction
1119,contradiction
1120,contradiction
1121,entailment
1122,neutral
1123,entailment
1124,neutral
1125,entailment
1126,neutral
1127,neutral
1128,entailment
1129,entailment
1130,contradiction
1131,entailment
1132,entailment
1133,neutral
1134,neutral
1135,neutral
1136,contradiction
1137,entailment
1138,contradiction
1139,contradiction
1140,contradiction
1141,contradiction
1142,contradiction
1143,neutral
1144,entailment
1145,neutral
1146,contradiction
1147,entailment
1148,neutral
1149,contradiction
1150,neutral
1151,contradiction
1152,contradiction
1153,entailment
1154,entailment
1155,contradiction
1156,entailment
1157,entailment
1158,entailment
1159,neutral
1160,contradiction
1161,neutral
1162,entailment
1163,contradiction
1164,contradiction
1165,contradiction
1166,neutral
1167,neutral
1168,entailment
1169,contradiction
1170,entailment
1171,neutral
1172,contradiction
1173,neutral
1174,contradiction
1175,contradiction
1176,contradiction
1177,contradiction
1178,entailment
1179,neutral
1180,entailment
1181,entailment
1182,entailment
1183,entailment
1184,entailment
1185,neutral
1186,contradiction
1187,neutral
1188,neutral
1189,neutral
1190,contradiction
1191,contradiction
1192,contradiction
1193,entailment
1194,neutral
1195,contradiction
1196,entailment
1197,entailment
1198,entailment
1199,entailment
1200,entailment
1201,entailment
1202,contradiction
1203,contradiction
1204,contradiction
1205,neutral
1206,contradiction
1207,entailment
1208,contradiction
1209,contradiction
1210,contradiction
1211,neutral
1212,entailment
1213,contradiction
1214,neutral
1215,contradiction
1216,contradiction
1217,contradiction
1218,contradiction
1219,neutral
1220,contradiction
1221,contradiction
1222,contradiction
1223,contradiction
1224,neutral
1225,contradiction
1226,contradiction
1227,contradiction
1228,neutral
1229,contradiction
1230,entailment
1231,contradiction
1232,neutral
1233,contradiction
1234,entailment
1235,neutral
1236,neutral
1237,neutral
1238,neutral
1239,neutral
1240,entailment
1241,contradiction
1242,neutral
1243,entailment
1244,entailment
1245,neutral
1246,entailment
1247,contradiction
1248,contradiction
1249,contradiction
1250,neutral
1251,entailment
1252,entailment
1253,entailment
1254,contradiction
1255,neutral
1256,contradiction
1257,entailment
1258,neutral
1259,entailment
1260,contradiction
1261,neutral
1262,entailment
1263,entailment
1264,neutral
1265,contradiction
1266,entailment
1267,entailment
1268,entailment
1269,contradiction
1270,contradiction
1271,contradiction
1272,neutral
1273,entailment
1274,neutral
1275,contradiction
1276,entailment
1277,contradiction
1278,entailment
1279,contradiction
1280,entailment
1281,contradiction
1282,entailment
1283,neutral
1284,neutral
1285,neutral
1286,entailment
1287,contradiction
1288,entailment
1289,contradiction
1290,neutral
1291,entailment
1292,contradiction
1293,contradiction
1294,entailment
1295,neutral
1296,contradiction
1297,contradiction
1298,contradiction
1299,entailment
1300,entailment
1301,neutral
1302,contradiction
1303,neutral
1304,contradiction
1305,entailment
1306,contradiction
1307,neutral
1308,entailment
1309,contradiction
1310,entailment
1311,contradiction
1312,neutral
1313,neutral
1314,contradiction
1315,neutral
1316,entailment
1317,contradiction
1318,neutral
1319,entailment
1320,neutral
1321,neutral
1322,contradiction
1323,entailment
1324,contradiction
1325,entailment
1326,contradiction
1327,contradiction
1328,contradiction
1329,neutral
1330,contradiction
1331,neutral
1332,neutral
1333,contradiction
1334,contradiction
1335,entailment
1336,contradiction
1337,entailment
1338,contradiction
1339,neutral
1340,neutral
1341,contradiction
1342,contradiction
1343,entailment
1344,neutral
1345,contradiction
1346,contradiction
1347,contradiction
1348,contradiction
1349,contradiction
1350,contradiction
1351,contradiction
1352,contradiction
1353,contradiction
1354,contradiction
1355,contradiction
1356,contradiction
1357,contradiction
1358,neutral
1359,entailment
1360,contradiction
1361,contradiction
1362,neutral
1363,contradiction
1364,entailment
1365,contradiction
1366,neutral
1367,contradiction
1368,contradiction
1369,contradiction
1370,contradiction
1371,neutral
1372,entailment
1373,neutral
1374,contradiction
1375,neutral
1376,neutral
1377,neutral
1378,contradiction
1379,neutral
1380,neutral
1381,neutral
1382,contradiction
1383,neutral
1384,entailment
1385,entailment
1386,entailment
1387,entailment
1388,contradiction
1389,entailment
1390,entailment
1391,entailment
1392,contradiction
1393,contradiction
1394,entailment
1395,neutral
1396,neutral
1397,contradiction
1398,entailment
1399,contradiction
1400,entailment
1401,contradiction
1402,entailment
1403,entailment
1404,neutral
1405,contradiction
1406,entailment
1407,contradiction
1408,neutral
1409,contradiction
1410,entailment
1411,contradiction
1412,contradiction
1413,neutral
1414,neutral
1415,contradiction
1416,contradiction
1417,entailment
1418,contradiction
1419,contradiction
1420,entailment
1421,contradiction
1422,contradiction
1423,contradiction
1424,neutral
1425,neutral
1426,entailment
1427,entailment
1428,contradiction
1429,neutral
1430,neutral
1431,contradiction
1432,neutral
1433,neutral
1434,contradiction
1435,contradiction
1436,entailment
1437,neutral
1438,contradiction
1439,entailment
1440,neutral
1441,neutral
1442,contradiction
1443,contradiction
1444,entailment
1445,entailment
1446,contradiction
1447,contradiction
1448,entailment
1449,contradiction
1450,contradiction
1451,neutral
1452,entailment
1453,contradiction
1454,entailment
1455,entailment
1456,entailment
1457,entailment
1458,entailment
1459,neutral
1460,entailment
1461,entailment
1462,neutral
1463,neutral
1464,entailment
1465,entailment
1466,entailment
1467,entailment
1468,entailment
1469,entailment
1470,neutral
1471,neutral
1472,contradiction
1473,neutral
1474,contradiction
1475,entailment
1476,contradiction
1477,neutral
1478,contradiction
1479,contradiction
1480,neutral
1481,contradiction
1482,contradiction
1483,neutral
1484,neutral
1485,contradiction
1486,neutral
1487,contradiction
1488,entailment
1489,contradiction
1490,contradiction
1491,contradiction
1492,entailment
1493,contradiction
1494,entailment
1495,entailment
1496,entailment
1497,contradiction
1498,neutral
1499,neutral
1500,contradiction
1501,contradiction
1502,neutral
1503,neutral
1504,neutral
1505,entailment
1506,contradiction
1507,neutral
1508,neutral
1509,entailment
1510,contradiction
1511,neutral
1512,neutral
1513,neutral
1514,contradiction
1515,contradiction
1516,contradiction
1517,neutral
1518,contradiction
1519,contradiction
1520,contradiction
1521,neutral
1522,neutral
1523,neutral
1524,neutral
1525,neutral
1526,contradiction
1527,entailment
1528,entailment
1529,contradiction
1530,contradiction
1531,contradiction
1532,contradiction
1533,contradiction
1534,entailment
1535,neutral
1536,neutral
1537,neutral
1538,entailment
1539,entailment
1540,neutral
1541,entailment
1542,entailment
1543,contradiction
1544,neutral
1545,entailment
1546,entailment
1547,entailment
1548,contradiction
1549,neutral
1550,neutral
1551,neutral
1552,contradiction
1553,contradiction
1554,neutral
1555,contradiction
1556,neutral
1557,entailment
1558,contradiction
1559,contradiction
1560,neutral
1561,contradiction
1562,contradiction
1563,entailment
1564,neutral
1565,entailment
1566,neutral
1567,entailment
1568,contradiction
1569,contradiction
1570,entailment
1571,contradiction
1572,neutral
1573,contradiction
1574,entailment
1575,entailment
1576,contradiction
1577,entailment
1578,neutral
1579,contradiction
1580,entailment
1581,entailment
1582,contradiction
1583,contradiction
1584,neutral
1585,neutral
1586,entailment
1587,neutral
1588,entailment
1589,contradiction
1590,neutral
1591,neutral
1592,entailment
1593,neutral
1594,entailment
1595,neutral
1596,entailment
1597,entailment
1598,entailment
1599,contradiction
1600,contradiction
1601,contradiction
1602,neutral
1603,contradiction
1604,neutral
1605,neutral
1606,neutral
1607,neutral
1608,neutral
1609,contradiction
1610,neutral
1611,neutral
1612,contradiction
1613,entailment
1614,neutral
1615,contradiction
1616,neutral
1617,entailment
1618,entailment
1619,contradiction
1620,contradiction
1621,entailment
1622,entailment
1623,entailment
1624,entailment
1625,entailment
1626,contradiction
1627,contradiction
1628,entailment
1629,entailment
1630,entailment
1631,contradiction
1632,contradiction
1633,neutral
1634,entailment
1635,neutral
1636,contradiction
1637,neutral
1638,contradiction
1639,neutral
1640,contradiction
1641,neutral
1642,contradiction
1643,neutral
1644,entailment
1645,neutral
1646,entailment
1647,entailment
1648,neutral
1649,entailment
1650,contradiction
1651,contradiction
1652,neutral
1653,contradiction
1654,entailment
1655,neutral
1656,entailment
1657,neutral
1658,entailment
1659,neutral
1660,contradiction
1661,contradiction
1662,entailment
1663,contradiction
1664,contradiction
1665,neutral
1666,contradiction
1667,entailment
1668,neutral
1669,neutral
1670,entailment
1671,neutral
1672,contradiction
1673,neutral
1674,entailment
1675,neutral
1676,entailment
1677,entailment
1678,contradiction
1679,entailment
1680,neutral
1681,contradiction
1682,entailment
1683,entailment
1684,entailment
1685,entailment
1686,entailment
1687,entailment
1688,contradiction
1689,entailment
1690,neutral
1691,neutral
1692,neutral
1693,neutral
1694,entailment
1695,contradiction
1696,entailment
1697,entailment
1698,neutral
1699,entailment
1700,entailment
1701,entailment
1702,entailment
1703,entailment
1704,entailment
1705,neutral
1706,neutral
1707,contradiction
1708,contradiction
1709,contradiction
1710,entailment
1711,entailment
1712,entailment
1713,neutral
1714,neutral
1715,neutral
1716,neutral
1717,entailment
1718,entailment
1719,contradiction
1720,neutral
1721,entailment
1722,neutral
1723,entailment
1724,contradiction
1725,contradiction
1726,entailment
1727,entailment
1728,contradiction
1729,neutral
1730,contradiction
1731,neutral
1732,contradiction
1733,neutral
1734,entailment
1735,contradiction
1736,contradiction
1737,contradiction
1738,entailment
1739,neutral
1740,contradiction
1741,neutral
1742,entailment
1743,contradiction
1744,entailment
1745,entailment
1746,entailment
1747,neutral
1748,contradiction
1749,entailment
1750,entailment
1751,contradiction
1752,entailment
1753,contradiction
1754,entailment
1755,entailment
1756,contradiction
1757,neutral
1758,neutral
1759,entailment
1760,contradiction
1761,entailment
1762,neutral
1763,entailment
1764,entailment
1765,neutral
1766,entailment
1767,entailment
1768,contradiction
1769,neutral
1770,contradiction
1771,contradiction
1772,neutral
1773,neutral
1774,neutral
1775,entailment
1776,neutral
1777,contradiction
1778,neutral
1779,entailment
1780,entailment
1781,neutral
1782,entailment
1783,contradiction
1784,entailment
1785,entailment
1786,entailment
1787,contradiction
1788,neutral
1789,contradiction
1790,neutral
1791,entailment
1792,contradiction
1793,neutral
1794,contradiction
1795,contradiction
1796,entailment
1797,neutral
1798,neutral
1799,contradiction
1800,neutral
1801,contradiction
1802,neutral
1803,contradiction
1804,contradiction
1805,neutral
1806,contradiction
1807,neutral
1808,contradiction
1809,neutral
1810,neutral
1811,entailment
1812,contradiction
1813,contradiction
1814,contradiction
1815,contradiction
1816,contradiction
1817,neutral
1818,entailment
1819,contradiction
1820,entailment
1821,entailment
1822,entailment
1823,entailment
1824,contradiction
1825,entailment
1826,neutral
1827,contradiction
1828,entailment
1829,contradiction
1830,contradiction
1831,contradiction
1832,contradiction
1833,contradiction
1834,neutral
1835,contradiction
1836,contradiction
1837,contradiction
1838,neutral
1839,entailment
1840,contradiction
1841,contradiction
1842,entailment
1843,entailment
1844,neutral
1845,entailment
1846,neutral
1847,neutral
1848,neutral
1849,entailment
1850,neutral
1851,entailment
1852,contradiction
1853,contradiction
1854,contradiction
1855,entailment
1856,neutral
1857,entailment
1858,entailment
1859,neutral
1860,neutral
1861,neutral
1862,entailment
1863,contradiction
1864,neutral
1865,neutral
1866,neutral
1867,contradiction
1868,entailment
1869,contradiction
1870,neutral
1871,neutral
1872,entailment
1873,entailment
1874,contradiction
1875,neutral
1876,entailment
1877,contradiction
1878,neutral
1879,entailment
1880,neutral
1881,neutral
1882,contradiction
1883,contradiction
1884,entailment
1885,contradiction
1886,entailment
1887,contradiction
1888,contradiction
1889,entailment
1890,contradiction
1891,entailment
1892,contradiction
1893,contradiction
1894,neutral
1895,neutral
1896,contradiction
1897,contradiction
1898,neutral
1899,neutral
1900,entailment
1901,contradiction
1902,contradiction
1903,entailment
1904,neutral
1905,entailment
1906,contradiction
1907,neutral
1908,contradiction
1909,contradiction
1910,contradiction
1911,entailment
1912,contradiction
1913,neutral
1914,contradiction
1915,entailment
1916,contradiction
1917,contradiction
1918,entailment
1919,contradiction
1920,neutral
1921,entailment
1922,neutral
1923,contradiction
1924,contradiction
1925,neutral
1926,contradiction
1927,neutral
1928,contradiction
1929,entailment
1930,entailment
1931,contradiction
1932,entailment
1933,contradiction
1934,neutral
1935,neutral
1936,neutral
1937,entailment
1938,entailment
1939,entailment
1940,entailment
1941,entailment
1942,neutral
1943,contradiction
1944,neutral
1945,neutral
1946,contradiction
1947,contradiction
1948,neutral
1949,neutral
1950,contradiction
1951,contradiction
1952,entailment
1953,neutral
1954,neutral
1955,contradiction
1956,neutral
1957,contradiction
1958,contradiction
1959,entailment
1960,contradiction
1961,entailment
1962,contradiction
1963,contradiction
1964,neutral
1965,neutral
1966,contradiction
1967,neutral
1968,entailment
1969,entailment
1970,entailment
1971,entailment
1972,contradiction
1973,contradiction
1974,contradiction
1975,entailment
1976,entailment
1977,entailment
1978,entailment
1979,contradiction
1980,contradiction
1981,entailment
1982,entailment
1983,neutral
1984,entailment
1985,entailment
1986,neutral
1987,contradiction
1988,entailment
1989,neutral
1990,entailment
1991,contradiction
1992,entailment
1993,entailment
1994,contradiction
1995,neutral
1996,contradiction
1997,entailment
1998,neutral
1999,neutral
2000,entailment
2001,contradiction
2002,contradiction
2003,contradiction
2004,contradiction
2005,contradiction
2006,contradiction
2007,contradiction
2008,contradiction
2009,entailment
2010,contradiction
2011,contradiction
2012,contradiction
2013,entailment
2014,neutral
2015,contradiction
2016,neutral
2017,contradiction
2018,entailment
2019,contradiction
2020,neutral
2021,neutral
2022,contradiction
2023,contradiction
2024,contradiction
2025,contradiction
2026,entailment
2027,entailment
2028,contradiction
2029,contradiction
2030,contradiction
2031,entailment
2032,contradiction
2033,neutral
2034,entailment
