96,A child in a blue jacket and black cap sits amongst flowers and candles.,The child is not standing.,entailment
97,A person is jumping in the air.,A person is sitting in the grass,contradiction
98,A man is smoking at sunset.,the man is white,neutral
99,A person in tan pants is inside a silver mobile object while people watch.,A person is at least partially clothed in a mobile object.,entailment
100,Two women wearing sunglasses are walking next to each other and talking.,The women are ignoring each other.,contradiction
101,A caucasian male toddler sweeps the tiled floor.,A black child washes a window.,contradiction
102,two people working in water next to field,Two people are next to a field.,entailment
103,A brown dog with his tongue out looks at the camera.,The brown dog takes interest in the camera and looks directly at it.,neutral
104,A boy in a blue boat tied to a larger boat dumps out a bucket of water.,The boy is dumping out dirty water.,neutral
105,An African man is working with a wooden machine.,An African man is sitting on a couch.,contradiction
106,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,The woman is wearing white.,entailment
107,One man stands in the shallow water while another sits on a rock by a river with a rock cliff in the background.,Two men are around water,entailment
108,Little girl lying in many colored plastic balls.,A little girl is playing baseball.,contradiction
109,A barefoot young girl in a pink gown is asleep on a hard wood floor cuddling her baby doll.,The floor is cold.,neutral
110,Two teams playing football and the player wearing number 12 is running with the ball trying to evade the tacklers.,People playing football,entailment
111,"A mustached man wearing a floppy black hat displays large flowers and red, white and blue colored inflatable baseball bats.",A man is wearing a blue hat,contradiction
112,A woman with brown hair and wearing a black hat is looking in a microscope and writing something down.,The scientist has just made a discovery and is writing it down,neutral
113,A public speaker discussing what needs to be changed.,A public speaker eating lunch in a restaurant.,contradiction
114,A man with a motorcycle helmet lounges in the sun next to a body of water.,the pigs eat cheese,contradiction
115,Dogs play in creek.,The dogs are hot.,neutral
116,A man in a collared shirt talking to another man in sunglasses.,A naked man is talking to another man.,contradiction
117,A woman in a blue shirt holds a camera.,A woman in a red dress poses as someone else takes a picture,contradiction
118,A woman stands beside a man with a wheelchair.,People are present near a wheelchair.,entailment
119,A brown and white dog jumping up to catch a Frisbee while an audience watches.,An audience watches the beach dogs compete.,neutral
120,A male athlete is wearing a teal sweatband and a shirt from Nike and is holding a tennis racket.,An athlete is competing in a tennis match.,neutral
121,Many scooters are parked together on the sidewalk.,The scooters are parked side by side on the sidewalk.,entailment
122,A marathon of runners running on a red track.,Runners are racing on a track.,neutral
123,A group of people talking at tables.,The people are having a conversation.,entailment
124,A group of kids in red and white playing soccer.,There are kids playing ball in a soccer tournament.,neutral
125,A blond woman in a white dress sits in a flowering tree while holding a white bird.,The woman has red hair.,contradiction
126,An older couple singing and playing the guitar.,A solo performer playing for a crowd,contradiction
127,A city with historical buildings at a distance on each side of the street with people on the sidewalks looking on.,There are historical buildings in a city.,entailment
128,A man sitting at his desk in front of a computer,A man sits at his friend's desk in front of a computer.,contradiction
129,"A person is sitting behind a old, black Singer sewing machine with a note taped to their dress.",The person is old.,neutral
130,"As spectators watch, a man dressed in a cowboy outfit rides on the front of a long yellow tractor.",a man in a cowboy outfit rides on a yellow tractor,entailment
131,People picking up trash in the park.,The people are at the movies.,contradiction
132,A man in a sleeveless shirt is juggling burning objects.,A man performs his act for the local music festival.,neutral
133,A lady is taking a photo using a canon camera.,There is a woman that is taking photos.,entailment
134,Older woman listens to another woman's belly.,A woman is listening for baby kicks.,neutral
135,A white British Airways plane on the airstrip.,the plane is orange,contradiction
136,A marketplace that sells food in Thailand.,A Meijer in Illinois selling groceries.,contradiction
137,a young girl wearing a black and red swimsuit swinging on a swing,The girl is coloring in her coloring book on the picnic table next to the pool,contradiction
138,A child stand with an elderly women at the 96th Street subway station.,The child stands with his grandmother.,neutral
139,Young lady dressed in black shorts and light blue shirt sitting outside at a public table looking at a picture on her camera with her left hand on her face.,A lady at a table takes pictures.,entailment
140,Two women prepare food samples.,Two kids are preparing food.,contradiction
141,"Three male and female pairs of dancers are on the stage at the ballet, with other ballerinas in the background.",There are dancers putting on a show.,neutral
142,A man in a blue hat standing with a large net in his hand.,A man is wearing a yellow hat.,contradiction
143,"Many people of Indian descent wearing bright, colorful clothing& walking up steep flights of stairs.",There is a group of Indians going up some stairs.,entailment
144,A few people looking up at statues outside a big marble building.,A pack of lions is hunting tuna.,contradiction
145,Woman in shorts and tank top sitting on a stone wall.,The lady is playing baseball.,contradiction
146,"An older man with a graying beard, possibly a homeless person, sleeps on the grass in front of an ancient tree in a public park.",An old man is playing catch.,contradiction
147,White duck flapping its wings in the water.,The duck is next to the water.,contradiction
148,"A band with four members, one female, plays for a small audience.",A music group plays good music.,neutral
149,Three people going up an escalator and a man with a shopping cart coming down the escalator.,People are going up an escalator,entailment
150,"Adolescent white man with black hair, black pants, and a white and black polka-dotted shirt holding and singing into a microphone.",a man sings into a mic,entailment
151,A shirtless soldier is shaving his face out in the street while his dog drinks some water.,The man is drinking some water.,contradiction
152,"Two women, one old, looking at a map.",The two women are looking at a map.,entailment
153,The rowdy bull spits as the men attempt to lasso it.,The bull is sleeping.,contradiction
154,"A group of people inside some form of public transportation (such as a bus), are looking out the windows on the left side.",people in a vehicle,entailment
155,A man in a blue shirt sitting at a red table with three dolls on top.,A man in a red shirt is standing by himself.,contradiction
156,A woman taking her wallet out of her purse at a vendor stand.,The man pulls out a gun to rob the vendor stand.,contradiction
157,The silhouette of three people in front of a wall.,The people are by the wall.,entailment
158,A young man in a black graphic shirt is pretending to place his hand in a torture device in a playful manner.,A young man in a red graphic shirt is pretending to place his hand in a pool of lava in a playful manner.,contradiction
159,"A man poses in mid jump beside a left turn road sign and a recumbent bicycle in the snow, behind him there is a large body of water.",A child is running down the road.,contradiction
160,A teenage boy with a red hat sits along side a pedestrian bridge while people walk by.,A blonde boy with a hat.,neutral
161,A man toasts buns behind the counter of a restaurant.,A man is making a sandwich.,neutral
162,"Man in a blue baseball cap, gray shirt and jeans does a skateboard trick over some stairs.",Kids always do tricks on the stairs in the shopping mall.,neutral
163,A man on a small bicycle performing a trick on a wall covered with graffiti.,A man is performing a trick on a bicycle to a small crowd.,neutral
164,"A white man with black hair dressed nicely in gray dress pants, blazer and purple tie stands on the street in front of a garage flipping a pancake which is captured in midair.",The man is pouring pancake batter all over his naked body.,contradiction
165,A furry brown squirrel eats a acorn while in a tree on a fall day.,There is a squirrel running along a power line.,contradiction
166,The biker in blue is going around a corner.,The biker in blue is going around a corner.,entailment
167,People dressed in red and blue placing a man into an orange cloth on a snow covered mountain.,A man is being hoisted up to a helicopter off a snow covered mountain.,contradiction
168,A man in a big black coat and hat walks down the street.,A man walks down the street.,entailment
169,A man in a brown jacket standing in front of an open porch door.,The man is sitting down.,contradiction
170,A woman is sitting in front of a computer.,A woman is looking at her computer.,entailment
171,A man wearing black is playing an electric guitar at a concert.,A man is playing the piano.,contradiction
172,An elderly man wearing a hat and jacket is bicycling down a brick paved path while sunlight streams through autumn trees ahead.,The elderly man was biking on a rainy day.,contradiction
173,"A building with a large sign which reads, ""Pain is Temporary, Quitting Lasts Forever"".",The words are painted in red.,neutral
174,A man with a black hat reading a book while sitting on a red folding chair.,The man has a green hat on.,contradiction
175,A singing group dressed in black is singing a song on stage.,The lady showed off her dancing skills.,contradiction
176,Six people are sitting around an L-shaped table surrounded by books and yarn.,People are jumping indoors.,contradiction
177,A few people looking up at statues outside a big marble building.,People are looking at statues.,entailment
178,a white dog running down a path with a long stick in his mouth,The white dog has something in it's mouth.,entailment
179,"A Girl Wearing Boots, Is Sitting On A Rock Near a Pond.",A girl gazes at boats as she sits on a flat rock.,neutral
180,A baker is showing off her bread.,The baker makes bread.,entailment
181,Man in orange shirt thinking while drinking a margarita.,A man in an orange shirt is drinking a margarita.,entailment
182,A girl in a white and brown uniform swings at a softball.,A boy swings at a baseball.,contradiction
183,A 2 year old boy swings in the backyard.,A boy rides a bicycle.,contradiction
184,Two women ogle another woman's jewelry.,the sheep eat dogs,contradiction
185,A woman is riding a bike along a beach.,A woman rides a bike.,entailment
186,A blond girl in a green patterned shirt has her hand raised.,The girl is waiting to be called on.,entailment
187,Three women enjoying a balloon joyride.,Three women are enjoying a plane ride through the air.,contradiction
188,Three people wearing hats and all with orange tubs are working on brickwork on the ground.,The men are all playing chess and checkers at the local park.,contradiction
189,Young girls in bathing suits playing in the knee deep water beyond the blue railing.,Young girls are playing in the water.,entailment
190,A young boy plays on a swing.,A boy is on a swing in the park.,neutral
191,The man in a blue sweatshirt is in a kitchen.,The guy in the kitchen wears a blue sweatshirt.,entailment
192,A mother is on her knees fixing her daughter's blue dress.,The dad is trying to wear his daughters dress.,contradiction
193,A baseball player is about to throw a baseball.,A baseball is broken,contradiction
194,The white dog is being squirted in the face with a jet of water.,The dog is running,neutral
195,A man in black pants is wearing a yellow hard hat as he rides a zipline.,The man is wearing green pants.,contradiction
196,A shirtless man with dreadlocks and tight jeans is playing with unlit fire sticks.,A man is practicing with the fire stick before he lights them.,neutral
197,Two people in blue shirts using a megaphone.,Two people speaking into a megaphone.,entailment
198,One boy in a yellow shirt rides a donkey hitched to a cart carrying two boys in yellow along a road.,One boy in a yellow shirt rides a donkey hitched to a wooden cart carrying two boys in yellow along a dirt road.,neutral
199,Cars are passing through a town.,Cars are parked in the town.,contradiction
200,Man with gray hair wearing a suit is waiting in a subway tunnel.,Woman with gray hair wearing a suit is waiting in a subway tunnel.,contradiction
201,A person rides a bicycle through a forest trail.,A person rides a vehicle outdoors.,entailment
202,A band is playing music with rowdy and crude fans.,Musicians performing for an unruly crowd.,entailment
203,Woman in black poses near a pyramid fountain.,The woman is a tourist.,neutral
204,A woman in a diagonal black and white striped skirt carries her bags toward a building with people sitting and leaning against the steps and railing.,A woman got run over by a car.,contradiction
205,A woman and man with bikes stand by a man with a guitar in front of a large building with a balcony.,A man is playing guitar on a balcony.,neutral
206,Two tan and white dogs and one tan dog racing down the beach near the water.,three dogs are outside,entailment
207,A woman in what appears to be traditional garments is performing a dance.,The woman is singing a song into a microphone.,contradiction
208,A man with a baseball cap and black jacket stands in a bathroom while holding a coffee mug.,A naked man is standing in the bathroom.,contradiction
209,A black-haired woman in a bright red shirt works at a loom.,A woman in a red shirt is making cloth to sew into dresses,neutral
210,A girl who is surrounded by other people is taking a picture at a concert.,A girl is sitting down reading a book next to a lake,contradiction
211,People stand at the bottom of a meandering walkway that goes uphill.,People standing at the bottom of a walkway that they just walked down,neutral
212,"Girl gets all her fingers cutoff trying to catch a Frisbee, fail!",A girl is about to go to the hospital.,neutral
213,Two women sitting at the bar having drinks.,Two women drinking beer.,neutral
214,"a dog sitting in the grass, with his tongue out",A dog is listening to its owner.,neutral
215,The dog jumps to catch a flying disc.,A pug is jumping.,neutral
216,A man wearing sunglasses playing an acoustic guitar.,A man playing a slow song on a outside.,neutral
217,Man with red marks around mouth standing with two women who are wearing black.,A male vampire who has recently fed standing with his concubines.,neutral
218,The girls are having a drink.,the girls are drinking,entailment
219,"Three male and female pairs of dancers are on the stage at the ballet, with other ballerinas in the background.",Some dancers perform the Nutcracker while others watch.,neutral
220,"Three women are playing softball, one of them is running the bases and two are playing defense.",Women are at practice for softball.,neutral
221,Two men on scaffolding painting the outside of a building.,Two men are fixing the appearance of the building.,entailment
222,Blond Singer performs as spectators dance around her.,The blond singer is a well known country music star and her fans lover her shows.,neutral
223,A man walks in a Volvo sales lot in the dark with only the Volvo sign illuminated.,A man is looking at Christmas trees.,contradiction
224,"Five young men standing on a beach with a bridge in the distance smile as the front boy, dressed in a tan outfit with blue sandals, leans back to throw something.",Some people are on the beach.,entailment
225,Four athletes from two different teams are competing in their sport on the ice rink.,People are playing a game on the ice.,entailment
226,Someone is taking a stroll on their bike.,He is on a riding his bike while escaping from the cop.s,neutral
227,"A child in a brown, patterned jacket lays on a couch with a blue blanket",The child is about to nap,neutral
228,The number 13 player is about to kick a blue and white soccer ball.,number 13 is making a goal.,neutral
229,"A man is welding, as the sparks fall into the air.",There is a man eating dinner.,contradiction
230,Two girls lift a third girl.,Three girls are sitting on the grass eating ice cream,contradiction
231,A man wearing black swimming shorts and goggles comes out of the swimming pool while others look on.,The man is dry.,contradiction
232,A young boy is sleeping on a blue and green striped pillow at night.,A girl sleeps.,contradiction
233,The dog is jumping into the lake.,Cooling off on a hot day.,neutral
234,Four young children eating lunch outside.,The children are hungry.,neutral
235,Women manually turns a vintage Singer sewing machine.,Women are working today.,entailment
236,a man is sitting cross-legged on a wall with a view of a city behind him.,A man is sitting on a wall outside.,neutral
237,A blond woman in a white dress sits in a flowering tree while holding a white bird.,"A nice looking woman, who is dressed in white, is sitting in a tree holding a bird.",neutral
238,A woman with blond-hair is smiling and putting on a white sweater.,A woman is feeding an elephant at the zoo.,contradiction
239,A rollerblader is in midair on a ramp.,A figure skater is laying on the ice,contradiction
240,two young children playing in front of a couch,The kids are indoors.,neutral
241,A woman with beads around her neck is performing a dance as part of a parade.,The woman is performing in the parade.,entailment
242,Two people play outdoors.,two people are outdoors,entailment
243,A black dog with a red collar sitting in the sand.,The dog walks along the sidewalk with no collar.,contradiction
244,Two men dressed in blue uniforms wearing headphones are standing with their arms behind their back while a man dressed in a brown camouflage uniform with a leashed dog looks over his right shoulder at several parked vehicles.,Two rats running on a wheel.,contradiction
245,A man with black shirt and jeans is nailing something on the top step of a ladder.,A man is having a glass of wine at a restaurant.,contradiction
246,A woman prepares to start her moped.,The moped is pink.,contradiction
247,A man and a woman are talking while waiting at a crosswalk.,The man is wearing boots.,neutral
248,A Chinese man is pushing a wheelchair with nobody in it on a busy Chinese street.,A man is jogging down a busy street.,contradiction
249,A baby in a ball pit and a toddler playing near the feet of the person taking the picture.,Two children play near someones feet.,entailment
250,Two women in dresses are standing across from each other.,The women have legs.,entailment
251,A man gets ready to throw a bamboo stick like a javelin.,A man works on transforming his bamboo stick into a fishing pole.,contradiction
252,4 people standing next to a fire cooking a meal,The group is a family with two children.,neutral
253,A boy wearing a blue shirt is going down a slide.,The boy is wearing clothes,entailment
254,A male child in a blue summer hat shoveling at the beach looks on at a family that plays in the ocean.,A family is spending the day at the beach.,neutral
255,An equestrian on a dark horse is leaving the ground to jump a hurdle.,The equestrian is a woman.,neutral
256,A man in face mask working on a machine.,the man is dancing.,contradiction
257,A man wearing a multi-color coat is playing the guitar on the street.,The man plays guitar,entailment
258,A woman is covering her eyes with her hands.,A woman is holding her hands over her eyes.,entailment
259,A person in a wheelchair plays a netted sport with three players in green shirts while being coached by an older woman off to his left.,The people are eating dinner.,contradiction
260,A man wearing a gray sweater walking through a pile of leaves.,The man is taking his driving test.,contradiction
261,Three men talking to each other and drinking.,Three men are drinking and talking.,entailment
262,Two nuns stand on the street.,Two kids playing in a park.,contradiction
263,The girl in a pink shirt jumps high over the grass.,A girl jumps.,entailment
264,A child in a blur shirt playing in a flower bed.,the child watched a movie,contradiction
265,A woman in sunglasses taking a photograph,The woman is taking a picture of a dog.,neutral
266,A young girl is throwing a hula hoop in a backyard on a sunny day.,A young girl plays outside.,entailment
267,"A man in a blue jacket has fallen asleep while sitting on a fold-able chair, with a fishing pole and a green umbrella.",A man has a light blue jacket.,neutral
268,A man in a white shirt is on a rooftop lifting a board.,The man has a red shirt.,contradiction
269,A portly man in an orange jumpsuit standing next to a woman in gray on the highway with a motorcycle laying on its side in the middle of the highway.,A man in an orange stands next to a woman on the highway.,entailment
270,A man holding a plastic bag walks down the sidewalk wearing a white tank top and black pants.,A man holding a plastic bag joyously walks down the sidewalk,neutral
271,Two young women walking.,The two young women are walking somewhere.,entailment
272,Wrestlers grapple on the floor.,There are people inside.,neutral
273,Two dogs walking through nature.,Two dogs walking through the woods to get home.,neutral
274,A woman in a white tank top is sitting at a bar.,There is no one inside the bar,contradiction
275,A male artist painting a landscape in front of a crowd of people.,An artist is painting a landscape.,entailment
276,"A young girl plays peek-a-boo, covering the eyes of the man on whose shoulders she sits.",A young girl sits on the shoulders of a man.,entailment
277,A professional baseball player just finished throwing the baseball.,The baseball player is a professional.,entailment
278,a boy in an inflatable pool is being splashed with water.,The pool is blue.,neutral
279,Bishop making the cross with ashes on a man's forehead,the bishop talked to the woman while putting a cross on her cheek,contradiction
280,"A young woman apparently dressed for the evening has decided to ride a bike to the event, even while wearing high heels.",A female is riding a bicycle.,entailment
281,Six dogs walking beside the beach.,Six dogs are on the beach.,entailment
282,A young woman plays professional tennis.,A young woman is playing in a tennis tournament.,neutral
283,A child in a red shirt is throwing a toy airplane in the middle of a large field.,A child is outside.,neutral
284,Two women are kissing in the street as someone stands next to them staring at the ground.,They are playing ball.,contradiction
285,A ESPN cameraman films a baseball player hitting a ball during a game.,Nobody films the man hitting the baseball.,contradiction
286,An asian man wearing a blue and white striped shirt speaks on the phone while he is sitting on a silver colored motorbike at a crosswalk.,The motorbike has a purple stripe on the side.,neutral
287,An Asian boy stepping on a stone next to a brick building.,A boy is outdoors.,entailment
288,A barefoot toddler wearing a yellow blouse and a floral print skirt holds a green toy up to her mouth with her right hand while standing on a blanket out in the yard and clinging with her left hand to some adult's hand.,The child holds the hand of an adult.,entailment
289,A young girl wearing a red shirt with her right arm raised and left arm has a softball glove.,a young girl with a glove,entailment
290,"A girl, perhaps around five, wearing white shorts, red and white top and carrying a red balloon, is standing outside of a wooden building, looking inside.",This little girl is upset because she just lost her balloon.,contradiction
291,"People are walking in front of a tourist information building displaying the following on its facade: pain is temporary, quitting lasts forever.",A group of people are walking outside.,entailment
292,A woman stopped in the middle of the street with her yoga mat placed over her shoulder.,A woman stopped in the middle of the street.,entailment
293,A woman in a white dress is walking down the street.,Someone is walking down the street.,entailment
294,Four women participating in an ice-skating race.,No humans participating,neutral
295,Two blond boys play with Legos from a clear plastic bin with a sofa in the background.,Children play with blocks.,entailment
296,A man in a plaid shirt is selling products to customers.,A man is wearing a plaid shirt.,entailment
297,A woman in a white shirt is talking on her yellow cellphone.,The woman prefers dark things.,contradiction
298,"A child and a grownup, each wearing hats, play by the ocean.",A boy and his mother play by the ocean.,neutral
299,The girl in a pink shirt jumps high over the grass.,The girl is outside.,entailment
300,"A man in an orange shirt and a man in a white shirt are at a vegetable stand, and the man in the orange shirt gives a woman wearing red some vegetables.",A man gives a woman some vegetables.,entailment
301,A girl in a black shirt is looking to the side while sitting on a wooden bench.,A girl in a red shirt is eating some ice cream.,contradiction
302,Father showing sons pictures on his camera.,The sons are not babies.,neutral
303,"A group of people, holding drinks are standing around talking.",The people are sitting in a hot tub.,contradiction
304,A young man doing a trick on a skateboard down the stairs while being photographed.,A helmet-less young man does a trick on a skateboard while being photographed.,neutral
305,An older couple discusses a vegetable.,Two old people talk about a veggie.,entailment
306,A young girl playing on a log swing.,a girl swinging,entailment
307,A woman holding a mic and a paper on stage with a musician.,The woman held the paper.,entailment
308,A woman of Asian looking descent in a black outfit standing in the airport baggage area.,A woman waiting to collect her luggage after flying in from the Orient to join the symphony orchestra on it's tour,neutral
309,The man stands on the scaffolding as he looks outward.,there is a man outside in this picture,entailment
310,"A baby, wearing an ""I am the Boss"" shirt, cries and clenches its fist.",A baby crys and clenches its fist.,entailment
311,A man getting his shoes shined on a busy street.,The man gets his shoes cleaned.,entailment
312,Two people huddle together on a brownstone door stoop.,A single person is knocking on a door.,contradiction
313,Two bicyclists chat as they pass in front of a white building with columns.,The people are walking through the park.,contradiction
314,Three people are outside with something on the grass.,Everyone is on a water slide.,contradiction
315,Two children in winter clothes playing on a slide.,Two kids play on the slide.,entailment
316,A man wearing black is playing an electric guitar at a concert.,A man is singing as he plays guitar.,neutral
317,Two women wearing dresses white drinking tea.,Two women are drinking green tea.,neutral
318,An old man squats near the water where there are boats docked.,"In the marina, an old lady sits cross legged near the rowboats.",contradiction
319,"A young girl wearing Mardi Gras beads and a green dress is accompanied by two boys, one on foot and one on a bicycle, as she walks down a dirt road.",The young children go shopping.,contradiction
320,"Two girls are looking for shells on a beach, one looks at what the other is pointing at and is investigating.",two cats chase a rabbit,contradiction
